planner,trials,pick_success_rate,place_success_rate,reset_success_rate,mean_pick_plan_time,mean_place_plan_time,mean_reset_plan_time,mean_total_time,mean_total_path_cost,mean_total_waypoints
PEBFMT*,30,0.9,0.8666666666666667,0.8666666666666667,5.161189296296296,5.171563923076922,5.026323730769231,15.356412500000001,17.806132961538463,95.92307692307692
BFMT*,30,0.9333333333333333,0.8666666666666667,0.8666666666666667,2.26679575,2.2395416538461537,0.9972707307692308,5.490304615384615,20.123658923076928,107.61538461538461
BIT*,30,0.9333333333333333,0.9,0.9,5.080787000000001,5.091805037037037,10.490288888888891,20.663474037037037,26.939275481481488,138.37037037037038
Informed RRT*,30,0.1,0.03333333333333333,0.0,5.090444333333333,5.107494,,,,
