planner,runs,target_hits,target_hit_rate,target_hit_wilson_low,target_hit_wilson_high,mean_normalized_final_cost,mean_normalized_final_cost_bootstrap_low,mean_normalized_final_cost_bootstrap_high,conditional_median_runtime_to_threshold,conditional_median_runtime_bootstrap_low,conditional_median_runtime_bootstrap_high,source_data_file,statistics_provenance
BFMT*,250,78,0.312,0.25777888902447976,0.3719112315858073,1.0936513084126984,1.0602416111626984,1.128004875607143,4.299735,3.73901,6.1454,data/ablation/ablation_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
PEBFMT*-global-only,250,231,0.924,0.8843586026895993,0.9508083593382637,0.9312645093524603,0.9108254751350376,0.9521520902260457,7.22002,5.86319,9.2972,data/ablation/ablation_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
PEBFMT*-piecewise-only,250,229,0.916,0.8750051335864347,0.9444039612333553,0.9416486311094445,0.9214105068365357,0.9617199421510674,8.58784,6.40753,12.1551,data/ablation/ablation_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
PEBFMT*,250,231,0.924,0.8843586026895993,0.9508083593382637,0.9507546936387301,0.9303497500780258,0.9723289447191071,8.04563,5.97833,10.465,data/ablation/ablation_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
