suite,scene_raw,scene,planner_raw,planner_public,run_id,source_log_id,benchmark_seed,target_cost,time_limit_s,status_code,status_label,solved,exact,approximate,final_time_s,final_cost,final_cost_normalized,target_hit,target_time_s,first_solution_time_s,first_solution_cost,progress_available
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,25,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,3.44421,758.503,0.94812875,true,3.44421,3.44421,758.503,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,26,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,13.3653,658.107,0.82263375,true,13.3653,13.3653,658.107,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,27,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,9.90088,641.377,0.80172125,true,9.90088,9.90088,641.377,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,28,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,11.5239,638.287,0.79785875,true,11.5239,11.5239,638.287,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,29,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,3.76319,674.514,0.8431425,true,3.76319,3.76319,674.514,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,30,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,2.70375,649.723,0.81215375,true,2.70375,2.70375,649.723,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,31,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,6.59899,623.337,0.77917125,true,6.59899,6.59899,623.337,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,32,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,9.46406,807.858,1.0098225,false,,9.46406,807.858,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,33,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,10.4096,641.956,0.802445,true,10.4096,10.4096,641.956,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,34,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,7.54495,525.053,0.65631625,true,7.54495,7.54495,525.053,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,35,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,9.17038,521.634,0.6520425,true,9.17038,9.17038,521.634,false
